"","molecular_formula","C","H","O","N","P","S","AImod","NOSC","GFE","HC","OC","El","Class1","Class2","Class3"
"C9 H16 O7 S1","C9 H16 O7 S1",9,16,7,0,0,1,-0.5556,0,60.3,1.78,0.78,"CHOS","Carbohydrate","aliphatic","aliphatic"
"C11 H12 O6 N2","C11 H12 O6 N2",11,12,6,2,0,0,0.3333,0.5455,44.75325,1.09,0.55,"CHON","Lignin","unsaturated/lignin","unsaturated/lignin"
"C16 H12 O4","C16 H12 O4",16,12,4,0,0,0,0.6429,-0.25,67.425,0.75,0.25,"CHO","Cond Hydrocarbon","aromatic","aromatic"
"C8 H16 O8 N2","C8 H16 O8 N2",8,16,8,2,0,0,-2,0.75,38.925,2,1,"CHON","Carbohydrate","aliphatic","carbohydrate"
"C13 H14 O5 13C1","C13 H14 O5 13C1",13,14,5,0,0,0,0.4286,-0.3077,69.06945,1.08,0.38,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C13 H16 O6","C13 H16 O6",13,16,6,0,0,0,0.3,-0.3077,69.06945,1.23,0.46,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C10 H20 O6 S1","C10 H20 O6 S1",10,20,6,0,0,1,-0.5,-0.6,77.4,2,0.6,"CHOS","Other","aliphatic","lipid"
"C12 H16 O5 N2","C12 H16 O5 N2",12,16,5,2,0,0,0.2,0,60.3,1.33,0.42,"CHON","Lignin","unsaturated/lignin","unsaturated/lignin"
"C12 H17 O5 N1 13C1","C12 H17 O5 N1 13C1",12,17,5,1,0,0,0.1765,-0.3333,69.79905,1.42,0.42,"CHON","Lignin","unsaturated/lignin","unsaturated/lignin"
"C14 H20 O5","C14 H20 O5",14,20,5,0,0,0,0.2174,-0.7143,80.65755,1.43,0.36,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C12 H26 O4 34S1","C12 H26 O4 34S1",12,26,4,0,0,0,-0.2,-1.5,103.05,2.17,0.33,"CHO","Other","aliphatic","lipid"
"C12 H26 O3 S1 18O1","C12 H26 O3 S1 18O1",12,26,3,0,0,1,-0.2632,-1.5,103.05,2.17,0.25,"CHOS","Lipid","aliphatic","lipid"
"C10 H26 O4 S1 13C2","C10 H26 O4 S1 13C2",10,26,4,0,0,1,-0.7143,-1.6,105.9,2.6,0.4,"CHOS","Other","aliphatic","lipid"
"C10 H24 O6 N2","C10 H24 O6 N2",10,24,6,2,0,0,-1,-0.6,77.4,2.4,0.6,"CHON","Other","aliphatic","lipid"
"C15 H24 O4","C15 H24 O4",15,24,4,0,0,0,0.1538,-1.0667,90.70095,1.6,0.27,"CHO","Lipid","aliphatic","aliphatic"
"C16 H28 O3","C16 H28 O3",16,28,3,0,0,0,0.1034,-1.375,99.4875,1.75,0.19,"CHO","Lipid","aliphatic","aliphatic"
"C11 H11 O7 N1","C11 H11 O7 N1",11,11,7,1,0,0,0.3846,0.5455,44.75325,1,0.64,"CHON","Lignin","unsaturated/lignin","unsaturated/lignin"
"C8 H15 O9 N1","C8 H15 O9 N1",8,15,9,1,0,0,-1.4,0.75,38.925,1.88,1.12,"CHON","Other","aliphatic","aliphatic+N"
"C12 H15 O6 N1","C12 H15 O6 N1",12,15,6,1,0,0,0.25,0,60.3,1.25,0.5,"CHON","Lignin","unsaturated/lignin","unsaturated/lignin"
"C12 H16 O6 13C1","C12 H16 O6 13C1",12,16,6,0,0,0,0.2222,-0.3333,69.79905,1.33,0.5,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C9 H19 O8 N1","C9 H19 O8 N1",9,19,8,1,0,0,-1,0,60.3,2.11,0.89,"CHON","Carbohydrate","aliphatic","lipid"
"C13 H19 O5 N1","C13 H19 O5 N1",13,19,5,1,0,0,0.1579,-0.4615,73.45275,1.46,0.38,"CHON","Protein","unsaturated/lignin","unsaturated/lignin"
"C13 H20 O5 13C1","C13 H20 O5 13C1",13,20,5,0,0,0,0.1429,-0.7692,82.2222,1.54,0.38,"CHO","Protein","aliphatic","aliphatic"
"C10 H23 O7 N1","C10 H23 O7 N1",10,23,7,1,0,0,-0.8182,-0.6,77.4,2.3,0.7,"CHON","Other","aliphatic","lipid"
"C11 H26 O4 13C1 34S1","C11 H26 O4 13C1 34S1",11,26,4,0,0,0,-0.3333,-1.6364,106.9374,2.36,0.36,"CHO","Other","aliphatic","lipid"
"C14 H23 O4 N1","C14 H23 O4 N1",14,23,4,1,0,0,0.0909,-0.8571,84.72735,1.64,0.29,"CHON","Lipid","aliphatic","aliphatic+N"
"C14 H24 O4 13C1","C14 H24 O4 13C1",14,24,4,0,0,0,0.0833,-1.1429,92.87265,1.71,0.29,"CHO","Lipid","aliphatic","aliphatic"
"C11 H7 O7 N1","C11 H7 O7 N1",11,7,7,1,0,0,0.6923,0.9091,34.39065,0.64,0.64,"CHON","Cond Hydrocarbon","condensed aromatic","condensed aromatic"
"C11 H10 O8","C11 H10 O8",11,10,8,0,0,0,0.4286,0.5455,44.75325,0.91,0.73,"CHO","Tannin","unsaturated/lignin","unsaturated/lignin"
"C10 H10 O7 N2","C10 H10 O7 N2",10,10,7,2,0,0,0.3333,1,31.8,1,0.7,"CHON","Tannin","unsaturated/lignin","unsaturated/lignin"
"C15 H10 O5","C15 H10 O5",15,10,5,0,0,0,0.68,0,60.3,0.67,0.33,"CHO","Cond Hydrocarbon","condensed aromatic","condensed aromatic"
"C14 H10 O4 N2","C14 H10 O4 N2",14,10,4,2,0,0,0.7,0.2857,52.15755,0.71,0.29,"CHON","Cond Hydrocarbon","condensed aromatic","condensed aromatic"
"C12 H14 O7","C12 H14 O7",12,14,7,0,0,0,0.2941,0,60.3,1.17,0.58,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C9 H18 O7 S1","C9 H18 O7 S1",9,18,7,0,0,1,-0.7778,-0.2222,66.6327,2,0.78,"CHOS","Carbohydrate","aliphatic","lipid"
"C11 H14 O6 N2","C11 H14 O6 N2",11,14,6,2,0,0,0.1667,0.3636,49.9374,1.27,0.55,"CHON","Lignin","unsaturated/lignin","unsaturated/lignin"
"C16 H14 O4","C16 H14 O4",16,14,4,0,0,0,0.5714,-0.375,70.9875,0.88,0.25,"CHO","Other","aromatic","aromatic"
"C13 H18 O4 S1","C13 H18 O4 S1",13,18,4,0,0,1,0.2,-0.6154,77.8389,1.38,0.31,"CHOS","Lignin","unsaturated/lignin","unsaturated/lignin"
"C13 H19 O4 P1","C13 H19 O4 P1",13,19,4,0,1,0,0.2,-1.2308,95.3778,1.46,0.31,"CHOP","Protein","unsaturated/lignin","unsaturated/lignin"
"C8 H18 O8 N2","C8 H18 O8 N2",8,18,8,2,0,0,-2.5,0.5,46.05,2.25,1,"CHON","Other","aliphatic","carbohydrate"
"C13 H18 O6","C13 H18 O6",13,18,6,0,0,0,0.2,-0.4615,73.45275,1.38,0.46,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C15 H23 O3 N1","C15 H23 O3 N1",15,23,3,1,0,0,0.2,-0.9333,86.89905,1.53,0.2,"CHON","Other","aliphatic","aliphatic+N"
"C12 H18 O5 N2","C12 H18 O5 N2",12,18,5,2,0,0,0.0667,-0.1667,65.05095,1.5,0.42,"CHON","Protein","aliphatic","aliphatic+N"
"C17 H18 O3","C17 H18 O3",17,18,3,0,0,0,0.4839,-0.7059,80.41815,1.06,0.18,"CHO","Other","unsaturated/lignin","unsaturated/lignin"
"C14 H22 O3 S1","C14 H22 O3 S1",14,22,3,0,0,1,0.1304,-1,88.8,1.57,0.21,"CHOS","Lipid","aliphatic","aliphatic"
"C14 H23 O3 P1","C14 H23 O3 P1",14,23,3,0,1,0,0.1304,-1.5714,105.0849,1.64,0.21,"CHOP","Lipid","aliphatic","aliphatic"
"C14 H22 O5","C14 H22 O5",14,22,5,0,0,0,0.1304,-0.8571,84.72735,1.57,0.36,"CHO","Protein","aliphatic","aliphatic"
"C15 H26 O4","C15 H26 O4",15,26,4,0,0,0,0.0769,-1.2,94.5,1.73,0.27,"CHO","Lipid","aliphatic","aliphatic"
"C16 H30 O3","C16 H30 O3",16,30,3,0,0,0,0.0345,-1.5,103.05,1.88,0.19,"CHO","Lipid","aliphatic","aliphatic"
"C17 H34 O2","C17 H34 O2",17,34,2,0,0,0,0,-1.7647,110.59395,2,0.12,"CHO","Lipid","aliphatic","lipid"
"C10 H9 O8 N1","C10 H9 O8 N1",10,9,8,1,0,0,0.4,1,31.8,0.9,0.8,"CHON","Tannin","unsaturated/lignin","unsaturated/lignin"
"C11 H13 O7 N1","C11 H13 O7 N1",11,13,7,1,0,0,0.2308,0.3636,49.9374,1.18,0.64,"CHON","Lignin","unsaturated/lignin","unsaturated/lignin"
"C11 H14 O7 13C1","C11 H14 O7 13C1",11,14,7,0,0,0,0.2,0,60.3,1.27,0.64,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C10 H13 O6 N3","C10 H13 O6 N3",10,13,6,3,0,0,0,0.8,37.5,1.3,0.6,"CHON","Lignin","unsaturated/lignin","unsaturated/lignin"
"C12 H17 O6 N1","C12 H17 O6 N1",12,17,6,1,0,0,0.125,-0.1667,65.05095,1.42,0.5,"CHON","Lignin","unsaturated/lignin","unsaturated/lignin"
"C12 H18 O6 13C1","C12 H18 O6 13C1",12,18,6,0,0,0,0.1111,-0.5,74.55,1.5,0.5,"CHO","Protein","aliphatic","aliphatic"
"C11 H17 O5 N3","C11 H17 O5 N3",11,17,5,3,0,0,-0.0909,0.1818,55.1187,1.55,0.45,"CHON","Protein","aliphatic","aliphatic+N"
"C13 H23 O3 P1 13C1","C13 H23 O3 P1 13C1",13,23,3,0,1,0,0.0476,-1.6923,108.53055,1.77,0.23,"CHOP","Lipid","aliphatic","aliphatic"
"C13 H22 O5 13C1","C13 H22 O5 13C1",13,22,5,0,0,0,0.0476,-0.9231,86.60835,1.69,0.38,"CHO","Protein","aliphatic","aliphatic"
"C14 H25 O4 N1","C14 H25 O4 N1",14,25,4,1,0,0,0,-1,88.8,1.79,0.29,"CHON","Lipid","aliphatic","aliphatic+N"
"C14 H26 O4 13C1","C14 H26 O4 13C1",14,26,4,0,0,0,0,-1.2857,96.94245,1.86,0.29,"CHO","Lipid","aliphatic","aliphatic"
"C15 H29 O3 N1","C15 H29 O3 N1",15,29,3,1,0,0,-0.04,-1.3333,98.29905,1.93,0.2,"CHON","Lipid","aliphatic","aliphatic+N"
"C15 H30 O3 13C1","C15 H30 O3 13C1",15,30,3,0,0,0,-0.037,-1.6,105.9,2,0.2,"CHO","Lipid","aliphatic","lipid"
"C13 H18 O4 N2","C13 H18 O4 N2",13,18,4,2,0,0,0.2222,-0.3077,69.06945,1.38,0.31,"CHON","Lignin","unsaturated/lignin","unsaturated/lignin"
"C9 H8 O8 N2","C9 H8 O8 N2",9,8,8,2,0,0,0.3333,1.5556,15.9654,0.89,0.89,"CHON","Tannin","unsaturated/lignin","unsaturated/lignin"
"C14 H8 O6","C14 H8 O6",14,8,6,0,0,0,0.7273,0.2857,52.15755,0.57,0.43,"CHO","Cond Hydrocarbon","condensed aromatic","condensed aromatic"
"C11 H12 O8","C11 H12 O8",11,12,8,0,0,0,0.2857,0.3636,49.9374,1.09,0.73,"CHO","Tannin","unsaturated/lignin","unsaturated/lignin"
"C10 H12 O7 N2","C10 H12 O7 N2",10,12,7,2,0,0,0.1111,0.8,37.5,1.2,0.7,"CHON","Tannin","unsaturated/lignin","unsaturated/lignin"
"C15 H12 O5","C15 H12 O5",15,12,5,0,0,0,0.6,-0.1333,64.09905,0.8,0.33,"CHO","Cond Hydrocarbon","aromatic","aromatic"
"C12 H16 O5 S1","C12 H16 O5 S1",12,16,5,0,0,1,0.1765,-0.3333,69.79905,1.33,0.42,"CHOS","Lignin","unsaturated/lignin","unsaturated/lignin"
"C10 H9 O6 N3","C10 H9 O6 N3",10,9,6,3,0,0,0.5,1.2,26.1,0.9,0.6,"CHON","Lignin","unsaturated/lignin","unsaturated/lignin"
"C17 H16 O3","C17 H16 O3",17,16,3,0,0,0,0.5484,-0.5882,77.0637,0.94,0.18,"CHO","Other","aromatic","aromatic"
"C14 H10 O1 N3 P1","C14 H10 O1 N3 P1",14,10,1,3,1,0,0.7895,-0.2857,68.44245,0.71,0.07,"CHONP","Unsat Hydrocarbon","condensed aromatic","condensed aromatic"
"C12 H16 O7","C12 H16 O7",12,16,7,0,0,0,0.1765,-0.1667,65.05095,1.33,0.58,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C11 H16 O6 N2","C11 H16 O6 N2",11,16,6,2,0,0,0,0.1818,55.1187,1.45,0.55,"CHON","Protein","unsaturated/lignin","unsaturated/lignin"
"C16 H16 O4","C16 H16 O4",16,16,4,0,0,0,0.5,-0.5,74.55,1,0.25,"CHO","Other","unsaturated/lignin","unsaturated/lignin"
"C13 H20 O6","C13 H20 O6",13,20,6,0,0,0,0.1,-0.6154,77.8389,1.54,0.46,"CHO","Protein","aliphatic","aliphatic"
"C12 H20 O5 N2","C12 H20 O5 N2",12,20,5,2,0,0,-0.0667,-0.3333,69.79905,1.67,0.42,"CHON","Protein","aliphatic","aliphatic+N"
"C14 H24 O5","C14 H24 O5",14,24,5,0,0,0,0.0435,-1,88.8,1.71,0.36,"CHO","Protein","aliphatic","aliphatic"
"C15 H28 O4","C15 H28 O4",15,28,4,0,0,0,0,-1.3333,98.29905,1.87,0.27,"CHO","Lipid","aliphatic","aliphatic"
"C16 H32 O3","C16 H32 O3",16,32,3,0,0,0,-0.0345,-1.625,106.6125,2,0.19,"CHO","Lipid","aliphatic","lipid"
"C10 H11 O8 N1","C10 H11 O8 N1",10,11,8,1,0,0,0.2,0.8,37.5,1.1,0.8,"CHON","Tannin","unsaturated/lignin","unsaturated/lignin"
"C14 H11 O5 N1","C14 H11 O5 N1",14,11,5,1,0,0,0.619,0.1429,56.22735,0.79,0.36,"CHON","Cond Hydrocarbon","aromatic","aromatic"
"C14 H12 O5 13C1","C14 H12 O5 13C1",14,12,5,0,0,0,0.5652,-0.1429,64.37265,0.86,0.36,"CHO","Lignin","aromatic","aromatic"
"C11 H16 O5 S1 13C1","C11 H16 O5 S1 13C1",11,16,5,0,0,1,0.0667,-0.3636,70.6626,1.45,0.45,"CHOS","Protein","unsaturated/lignin","unsaturated/lignin"
"C11 H15 O7 N1","C11 H15 O7 N1",11,15,7,1,0,0,0.0769,0.1818,55.1187,1.36,0.64,"CHON","Lignin","unsaturated/lignin","unsaturated/lignin"
"C11 H16 O7 13C1","C11 H16 O7 13C1",11,16,7,0,0,0,0.0667,-0.1818,65.4813,1.45,0.64,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C10 H15 O6 N3","C10 H15 O6 N3",10,15,6,3,0,0,-0.25,0.6,43.2,1.5,0.6,"CHON","Amino Sugar","aliphatic","aliphatic+N"
"C15 H15 O4 N1","C15 H15 O4 N1",15,15,4,1,0,0,0.5,-0.2667,67.90095,1,0.27,"CHON","Other","unsaturated/lignin","unsaturated/lignin"
"C12 H19 O6 N1","C12 H19 O6 N1",12,19,6,1,0,0,0,-0.3333,69.79905,1.58,0.5,"CHON","Protein","aliphatic","aliphatic+N"
"C12 H20 O6 13C1","C12 H20 O6 13C1",12,20,6,0,0,0,0,-0.6667,79.30095,1.67,0.5,"CHO","Protein","aliphatic","aliphatic"
"C11 H19 O5 N3","C11 H19 O5 N3",11,19,5,3,0,0,-0.2727,0,60.3,1.73,0.45,"CHON","Protein","aliphatic","aliphatic+N"
"C13 H23 O5 N1","C13 H23 O5 N1",13,23,5,1,0,0,-0.0526,-0.7692,82.2222,1.77,0.38,"CHON","Protein","aliphatic","aliphatic+N"
"C13 H24 O5 13C1","C13 H24 O5 13C1",13,24,5,0,0,0,-0.0476,-1.0769,90.99165,1.85,0.38,"CHO","Protein","aliphatic","aliphatic"
"C14 H27 O4 N1","C14 H27 O4 N1",14,27,4,1,0,0,-0.0909,-1.1429,92.87265,1.93,0.29,"CHON","Lipid","aliphatic","aliphatic+N"
"C14 H28 O4 13C1","C14 H28 O4 13C1",14,28,4,0,0,0,-0.0833,-1.4286,101.0151,2,0.29,"CHO","Lipid","aliphatic","lipid"
"C15 H32 O3 13C1","C15 H32 O3 13C1",15,32,3,0,0,0,-0.1111,-1.7333,109.69905,2.13,0.2,"CHO","Lipid","aliphatic","lipid"
"C10 H8 O7 N2","C10 H8 O7 N2",10,8,7,2,0,0,0.5556,1.2,26.1,0.8,0.7,"CHON","Tannin","aromatic","aromatic"
"C13 H10 O3 N2 S1","C13 H10 O3 N2 S1",13,10,3,2,0,1,0.6471,0.3077,51.53055,0.77,0.23,"CHONS","Cond Hydrocarbon","aromatic","aromatic"
"C14 H10 O6","C14 H10 O6",14,10,6,0,0,0,0.6364,0.1429,56.22735,0.71,0.43,"CHO","Cond Hydrocarbon","aromatic","aromatic"
"C11 H14 O6 S1","C11 H14 O6 S1",11,14,6,0,0,1,0.1429,0,60.3,1.27,0.55,"CHOS","Lignin","unsaturated/lignin","unsaturated/lignin"
"C13 H10 O5 N2","C13 H10 O5 N2",13,10,5,2,0,0,0.6471,0.4615,47.14725,0.77,0.38,"CHON","Cond Hydrocarbon","aromatic","aromatic"
"C13 H20 O4 N2","C13 H20 O4 N2",13,20,4,2,0,0,0.1111,-0.4615,73.45275,1.54,0.31,"CHON","Protein","aliphatic","aliphatic+N"
"C12 H14 O5 S1","C12 H14 O5 S1",12,14,5,0,0,1,0.2941,-0.1667,65.05095,1.17,0.42,"CHOS","Lignin","unsaturated/lignin","unsaturated/lignin"
"C11 H14 O8","C11 H14 O8",11,14,8,0,0,0,0.1429,0.1818,55.1187,1.27,0.73,"CHO","Tannin","unsaturated/lignin","unsaturated/lignin"
"C10 H14 O7 N2","C10 H14 O7 N2",10,14,7,2,0,0,-0.1111,0.6,43.2,1.4,0.7,"CHON","Amino Sugar","unsaturated/lignin","unsaturated/lignin"
"C11 H26 O4 13C1 33S1","C11 H26 O4 13C1 33S1",11,26,4,0,0,0,-0.3333,-1.6364,106.9374,2.36,0.36,"CHOS","Other","aliphatic","lipid"
"C15 H14 O5","C15 H14 O5",15,14,5,0,0,0,0.52,-0.2667,67.90095,0.93,0.33,"CHO","Lignin","aromatic","aromatic"
"C12 H18 O5 S1","C12 H18 O5 S1",12,18,5,0,0,1,0.0588,-0.5,74.55,1.5,0.42,"CHOS","Protein","aliphatic","aliphatic"
"C14 H14 O4 N2","C14 H14 O4 N2",14,14,4,2,0,0,0.5,0,60.3,1,0.29,"CHON","Lignin","unsaturated/lignin","unsaturated/lignin"
"C12 H18 O7","C12 H18 O7",12,18,7,0,0,0,0.0588,-0.3333,69.79905,1.5,0.58,"CHO","Amino Sugar","aliphatic","aliphatic"
"C11 H18 O6 N2","C11 H18 O6 N2",11,18,6,2,0,0,-0.1667,0,60.3,1.64,0.55,"CHON","Protein","aliphatic","aliphatic+N"
"C16 H18 O4","C16 H18 O4",16,18,4,0,0,0,0.4286,-0.625,78.1125,1.12,0.25,"CHO","Other","unsaturated/lignin","unsaturated/lignin"
"C11 H12 O7 13C1","C11 H12 O7 13C1",11,12,7,0,0,0,0.3333,0.1818,55.1187,1.09,0.64,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C13 H22 O6","C13 H22 O6",13,22,6,0,0,0,0,-0.7692,82.2222,1.69,0.46,"CHO","Protein","aliphatic","aliphatic"
"C12 H22 O5 N2","C12 H22 O5 N2",12,22,5,2,0,0,-0.2,-0.5,74.55,1.83,0.42,"CHON","Protein","aliphatic","aliphatic+N"
"C17 H22 O3","C17 H22 O3",17,22,3,0,0,0,0.3548,-0.9412,87.1242,1.29,0.18,"CHO","Other","unsaturated/lignin","unsaturated/lignin"
"C14 H26 O5","C14 H26 O5",14,26,5,0,0,0,-0.0435,-1.1429,92.87265,1.86,0.36,"CHO","Protein","aliphatic","aliphatic"
"C15 H30 O4","C15 H30 O4",15,30,4,0,0,0,-0.0769,-1.4667,102.10095,2,0.27,"CHO","Lipid","aliphatic","lipid"
"C13 H22 O4 N2","C13 H22 O4 N2",13,22,4,2,0,0,0,-0.6154,77.8389,1.69,0.31,"CHON","Protein","aliphatic","aliphatic+N"
"C11 H15 O5 N3","C11 H15 O5 N3",11,15,5,3,0,0,0.0909,0.3636,49.9374,1.36,0.45,"CHON","Lignin","unsaturated/lignin","unsaturated/lignin"
"C13 H9 O6 N1","C13 H9 O6 N1",13,9,6,1,0,0,0.6667,0.4615,47.14725,0.69,0.46,"CHON","Cond Hydrocarbon","condensed aromatic","condensed aromatic"
"C10 H13 O8 N1","C10 H13 O8 N1",10,13,8,1,0,0,0,0.6,43.2,1.3,0.8,"CHON","Tannin","unsaturated/lignin","unsaturated/lignin"
"C10 H14 O8 13C1","C10 H14 O8 13C1",10,14,8,0,0,0,0,0.2,54.6,1.4,0.8,"CHO","Other","unsaturated/lignin","unsaturated/lignin"
"C14 H13 O5 N1","C14 H13 O5 N1",14,13,5,1,0,0,0.5238,0,60.3,0.93,0.36,"CHON","Lignin","aromatic","aromatic"
"C13 H13 O4 N3","C13 H13 O4 N3",13,13,4,3,0,0,0.5,0.3077,51.53055,1,0.31,"CHON","Lignin","unsaturated/lignin","unsaturated/lignin"
"C11 H17 O7 N1","C11 H17 O7 N1",11,17,7,1,0,0,-0.0769,0,60.3,1.55,0.64,"CHON","Amino Sugar","aliphatic","aliphatic+N"
"C11 H18 O7 13C1","C11 H18 O7 13C1",11,18,7,0,0,0,-0.0667,-0.3636,70.6626,1.64,0.64,"CHO","Amino Sugar","aliphatic","aliphatic"
"C10 H17 O6 N3","C10 H17 O6 N3",10,17,6,3,0,0,-0.5,0.4,48.9,1.7,0.6,"CHON","Amino Sugar","aliphatic","aliphatic+N"
"C15 H17 O4 N1","C15 H17 O4 N1",15,17,4,1,0,0,0.4167,-0.4,71.7,1.13,0.27,"CHON","Other","unsaturated/lignin","unsaturated/lignin"
"C12 H21 O6 N1","C12 H21 O6 N1",12,21,6,1,0,0,-0.125,-0.5,74.55,1.75,0.5,"CHON","Protein","aliphatic","aliphatic+N"
"C12 H22 O6 13C1","C12 H22 O6 13C1",12,22,6,0,0,0,-0.1111,-0.8333,84.04905,1.83,0.5,"CHO","Protein","aliphatic","aliphatic"
"C13 H25 O5 N1","C13 H25 O5 N1",13,25,5,1,0,0,-0.1579,-0.9231,86.60835,1.92,0.38,"CHON","Protein","aliphatic","aliphatic+N"
"C13 H26 O5 13C1","C13 H26 O5 13C1",13,26,5,0,0,0,-0.1429,-1.2308,95.3778,2,0.38,"CHO","Protein","aliphatic","lipid"
"C13 H8 O7","C13 H8 O7",13,8,7,0,0,0,0.6842,0.4615,47.14725,0.62,0.54,"CHO","Cond Hydrocarbon","condensed aromatic","condensed aromatic"
"C10 H12 O9","C10 H12 O9",10,12,9,0,0,0,0.0909,0.6,43.2,1.2,0.9,"CHO","Tannin","unsaturated/lignin","unsaturated/lignin"
"C9 H6 O8 N2","C9 H6 O8 N2",9,6,8,2,0,0,0.6667,1.7778,9.63269999999999,0.67,0.89,"CHON","Other","condensed aromatic","condensed aromatic"
"C14 H12 O6","C14 H12 O6",14,12,6,0,0,0,0.5455,0,60.3,0.86,0.43,"CHO","Lignin","aromatic","aromatic"
"C11 H16 O6 S1","C11 H16 O6 S1",11,16,6,0,0,1,0,-0.1818,65.4813,1.45,0.55,"CHOS","Protein","unsaturated/lignin","unsaturated/lignin"
"C14 H11 O2 N2 P1","C14 H11 O2 N2 P1",14,11,2,2,1,0,0.7,-0.4286,72.5151,0.79,0.14,"CHONP","Unsat Hydrocarbon","condensed aromatic","condensed aromatic"
"C13 H12 O5 N2","C13 H12 O5 N2",13,12,5,2,0,0,0.5294,0.3077,51.53055,0.92,0.38,"CHON","Lignin","aromatic","aromatic"
"C11 H16 O8","C11 H16 O8",11,16,8,0,0,0,0,0,60.3,1.45,0.73,"CHO","Other","unsaturated/lignin","unsaturated/lignin"
"C10 H16 O7 N2","C10 H16 O7 N2",10,16,7,2,0,0,-0.3333,0.4,48.9,1.6,0.7,"CHON","Carbohydrate","aliphatic","aliphatic+N"
"C15 H16 O5","C15 H16 O5",15,16,5,0,0,0,0.44,-0.4,71.7,1.07,0.33,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C12 H20 O5 S1","C12 H20 O5 S1",12,20,5,0,0,1,-0.0588,-0.6667,79.30095,1.67,0.42,"CHOS","Protein","aliphatic","aliphatic"
"C10 H17 O7 N1 13C1","C10 H17 O7 N1 13C1",10,17,7,1,0,0,-0.2727,0,60.3,1.7,0.7,"CHON","Carbohydrate","aliphatic","aliphatic+N"
"C11 H12 O6 S1","C11 H12 O6 S1",11,12,6,0,0,1,0.2857,0.1818,55.1187,1.09,0.55,"CHOS","Lignin","unsaturated/lignin","unsaturated/lignin"
"C14 H16 O4 N2","C14 H16 O4 N2",14,16,4,2,0,0,0.4,-0.1429,64.37265,1.14,0.29,"CHON","Lignin","unsaturated/lignin","unsaturated/lignin"
"C12 H20 O7","C12 H20 O7",12,20,7,0,0,0,-0.0588,-0.5,74.55,1.67,0.58,"CHO","Amino Sugar","aliphatic","aliphatic"
"C11 H20 O6 N2","C11 H20 O6 N2",11,20,6,2,0,0,-0.3333,-0.1818,65.4813,1.82,0.55,"CHON","Protein","aliphatic","aliphatic+N"
"C8 H16 O8 S1","C8 H16 O8 S1",8,16,8,0,0,1,-1.3333,0.25,53.175,2,1,"CHOS","Carbohydrate","aliphatic","carbohydrate"
"C16 H20 O4","C16 H20 O4",16,20,4,0,0,0,0.3571,-0.75,81.675,1.25,0.25,"CHO","Other","unsaturated/lignin","unsaturated/lignin"
"C13 H24 O6","C13 H24 O6",13,24,6,0,0,0,-0.1,-0.9231,86.60835,1.85,0.46,"CHO","Protein","aliphatic","aliphatic"
"C17 H24 O3","C17 H24 O3",17,24,3,0,0,0,0.2903,-1.0588,90.4758,1.41,0.18,"CHO","Other","unsaturated/lignin","unsaturated/lignin"
"C14 H28 O3 S1","C14 H28 O3 S1",14,28,3,0,0,1,-0.1304,-1.4286,101.0151,2,0.21,"CHOS","Lipid","aliphatic","lipid"
"C14 H28 O5","C14 H28 O5",14,28,5,0,0,0,-0.1304,-1.2857,96.94245,2,0.36,"CHO","Protein","aliphatic","lipid"
"C12 H8 O1 N1 P1 S2","C12 H8 O1 N1 P1 S2",12,8,1,1,1,2,0.7333,-0.3333,69.79905,0.67,0.08,"CHONPS","Other","condensed aromatic","condensed aromatic"
"C13 H11 O6 N1","C13 H11 O6 N1",13,11,6,1,0,0,0.5556,0.3077,51.53055,0.85,0.46,"CHON","Lignin","aromatic","aromatic"
"C12 H11 O5 N3","C12 H11 O5 N3",12,11,5,3,0,0,0.5385,0.6667,41.29905,0.92,0.42,"CHON","Lignin","aromatic","aromatic"
"C10 H15 O8 N1","C10 H15 O8 N1",10,15,8,1,0,0,-0.2,0.4,48.9,1.5,0.8,"CHON","Carbohydrate","aliphatic","aliphatic+N"
"C10 H16 O8 13C1","C10 H16 O8 13C1",10,16,8,0,0,0,-0.1667,0,60.3,1.6,0.8,"CHO","Carbohydrate","aliphatic","aliphatic"
"C14 H15 O5 N1","C14 H15 O5 N1",14,15,5,1,0,0,0.4286,-0.1429,64.37265,1.07,0.36,"CHON","Lignin","unsaturated/lignin","unsaturated/lignin"
"C11 H19 O7 N1","C11 H19 O7 N1",11,19,7,1,0,0,-0.2308,-0.1818,65.4813,1.73,0.64,"CHON","Amino Sugar","aliphatic","aliphatic+N"
"C11 H20 O7 13C1","C11 H20 O7 13C1",11,20,7,0,0,0,-0.2,-0.5455,75.84675,1.82,0.64,"CHO","Other","aliphatic","aliphatic"
